,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
20,0.0,Fri Mar 23 19:07:00 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",21,BBC
21,-0.296,Fri Mar 23 18:03:04 +0000 2018,0.864,0.136,0.0,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. 🎤🤐 https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,22,BBC
22,0.0,Fri Mar 23 17:33:03 +0000 2018,1.0,0.0,0.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ️⚽️✨🚴🎉… https://t.co/tgbpC76heP",23,BBC
23,0.0,Fri Mar 23 17:02:01 +0000 2018,1.0,0.0,0.0,"Your week, as told by @louistheroux. 📆😂
https://t.co/Ae6bDBpIBW",24,BBC
24,0.0,Fri Mar 23 16:27:45 +0000 2018,1.0,0.0,0.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",25,BBC
25,0.7783,Fri Mar 23 16:00:12 +0000 2018,0.714,0.0,0.286,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",26,BBC
26,-0.4479,Fri Mar 23 14:33:40 +0000 2018,0.828,0.172,0.0,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs 🎤

@sportrelie…",27,BBC
27,0.5994,Fri Mar 23 14:03:08 +0000 2018,0.813,0.0,0.187,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. 🌿📸… https://t.co/2gq0t9FnIR,28,BBC
28,-0.4767,Fri Mar 23 14:00:02 +0000 2018,0.871,0.129,0.0,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",29,BBC
29,0.6114,Fri Mar 23 13:33:04 +0000 2018,0.8,0.0,0.2,Spring is here! 🌱🌸🥦 Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,30,BBC
30,0.4939,Fri Mar 23 13:03:02 +0000 2018,0.741,0.0,0.259,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",31,BBC
31,0.0,Fri Mar 23 11:42:55 +0000 2018,1.0,0.0,0.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,32,BBC
32,-0.2006,Fri Mar 23 11:42:51 +0000 2018,0.754,0.139,0.107,RT @BBCRadio2: 👻 “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,33,BBC
33,0.0,Fri Mar 23 11:42:48 +0000 2018,1.0,0.0,0.0,RT @BBCTwo: Our entire weekend plans. 😴👇 #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,34,BBC
34,0.3612,Fri Mar 23 11:42:43 +0000 2018,0.872,0.0,0.128,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",35,BBC
35,0.2648,Fri Mar 23 11:30:05 +0000 2018,0.897,0.0,0.103,☕️🍰Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,36,BBC
36,-0.6016,Fri Mar 23 10:33:01 +0000 2018,0.813,0.187,0.0,"Friday night is CELEBRITY FIGHT NIGHT! 🥊🥊

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",37,BBC
37,0.8555,Fri Mar 23 10:03:03 +0000 2018,0.657,0.0,0.343,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. 😊 🎉… https://t.co/KrNoB0qaqC",38,BBC
38,0.765,Fri Mar 23 09:30:03 +0000 2018,0.583,0.0,0.417,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",39,BBC
39,0.0,Fri Mar 23 08:33:01 +0000 2018,1.0,0.0,0.0,"Meet the first polar bear cub to be born in the UK in 25 years. 😍
https://t.co/njq1r6eONE",40,BBC
40,0.1511,Thu Mar 22 21:39:27 +0000 2018,0.85,0.0,0.15,"RT @BBCOne: All hail queen Kat! 🙌👑 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t",41,BBC
41,0.2732,Thu Mar 22 21:30:01 +0000 2018,0.884,0.0,0.116,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc",42,BBC
42,0.0,Thu Mar 22 21:20:05 +0000 2018,1.0,0.0,0.0,🖋 The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,43,BBC
43,-0.6486,Thu Mar 22 20:30:01 +0000 2018,0.798,0.202,0.0,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL",44,BBC
44,0.0,Thu Mar 22 19:04:04 +0000 2018,1.0,0.0,0.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. 🐾… https://t.co/0hDQP6X1wA,45,BBC
45,0.0516,Thu Mar 22 18:30:09 +0000 2018,0.625,0.159,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",46,BBC
46,-0.25,Thu Mar 22 17:33:04 +0000 2018,0.917,0.083,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",47,BBC
47,0.0,Thu Mar 22 17:03:54 +0000 2018,1.0,0.0,0.0,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,48,BBC
48,0.128,Thu Mar 22 17:03:05 +0000 2018,0.795,0.092,0.113,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",49,BBC
49,-0.4753,Thu Mar 22 16:04:06 +0000 2018,0.872,0.128,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",50,BBC
50,0.4184,Thu Mar 22 15:00:43 +0000 2018,0.859,0.0,0.141,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",51,BBC
51,-0.9168,Thu Mar 22 15:00:01 +0000 2018,0.615,0.385,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",52,BBC
52,0.6705,Thu Mar 22 14:30:10 +0000 2018,0.594,0.1,0.306,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",53,BBC
53,0.4215,Thu Mar 22 13:53:48 +0000 2018,0.882,0.0,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",54,BBC
54,-0.4767,Thu Mar 22 13:33:04 +0000 2018,0.871,0.129,0.0,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",55,BBC
55,0.0,Thu Mar 22 13:14:13 +0000 2018,1.0,0.0,0.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. 🔬 https://t.co/PVf4thZOb3,56,BBC
56,-0.7184,Thu Mar 22 13:02:00 +0000 2018,0.76,0.24,0.0,A battle is raging in your body right now. This is how the TRIM 21 protein defends your cells from viruses. https://t.co/XUAPbRS4j5,57,BBC
57,-0.4404,Thu Mar 22 12:30:10 +0000 2018,0.868,0.132,0.0,"🎶🎤Footloose, Fleetwood Mac's Rumours and Le Freak are among the classic records about to enter the US National Reco… https://t.co/gDLNOmNLhY",58,BBC
58,0.5423,Thu Mar 22 11:30:17 +0000 2018,0.811,0.0,0.189,"Meet the five artists who have been shortlisted for the £30,000 Hepworth sculpture award. https://t.co/1UGe2zQlDT https://t.co/MwWxUZWAhs",59,BBC
59,0.0,Thu Mar 22 10:58:34 +0000 2018,1.0,0.0,0.0,"RT @bbcwritersroom: Check out an interview with the #writer of #TheAssassinationofGianniVersace @tomrobsmith on our blog
https://t.co/m5rty…",60,BBC
60,-0.5994,Thu Mar 22 10:49:54 +0000 2018,0.755,0.245,0.0,RT @bbcthree: 'I was the only female in a violent all-male gang' https://t.co/NjF720J71M https://t.co/k7T0PqyuiG,61,BBC
61,-0.296,Thu Mar 22 10:30:09 +0000 2018,0.784,0.216,0.0,📱Can social media stop you getting a job? https://t.co/M9uTa8vMHA https://t.co/LwXJCGgW0b,62,BBC
62,0.0,Thu Mar 22 09:54:21 +0000 2018,1.0,0.0,0.0,RT @bbcpress: 50 classic cookery shows served up on @BBCiPlayer this Easter: https://t.co/RbyjFq6Dsj https://t.co/Hvt1m1dhpU,63,BBC
63,0.0,Thu Mar 22 09:33:03 +0000 2018,1.0,0.0,0.0,"Come on, who doesn't say ""xylophone"" on a daily basis? 😂📚@daraobriain #LiveAtTheApollo

https://t.co/5k1yKuwpzA",64,BBC
64,-0.3612,Thu Mar 22 08:33:02 +0000 2018,0.815,0.185,0.0,"Tantrums are inevitable... 😾😳This is how you raise a baby jaguar. #BigCatsAboutTheHouse

https://t.co/4mBf6xmvOr",65,BBC
65,0.0,Wed Mar 21 20:56:41 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: John Bishop’s on a one man mission to World Cup victory for @SportRelief!

Keep an eye out here for Geoff Hurst's 'dab' 😳🤣🙌…",66,BBC
66,-0.1154,Wed Mar 21 20:51:06 +0000 2018,0.921,0.079,0.0,"""I felt vulnerable but now I feel empowered.”

25-year-old rapper Paigey Cakey had a hair transplant after her hair… https://t.co/fGoueTbzyQ",67,BBC
67,0.0,Wed Mar 21 20:03:04 +0000 2018,1.0,0.0,0.0,"Watch as @ZoeTheBall attempts to cycle over 300 miles, to raise awareness about mental health and raise money for… https://t.co/qGcCT8wLSt",68,BBC
68,-0.5994,Wed Mar 21 19:03:04 +0000 2018,0.837,0.163,0.0,"Who were my parents - and why was I left on a hillside to die? 

After a life full of questions, Anthea finally has… https://t.co/5fEma0vgfw",69,BBC
69,0.4249,Wed Mar 21 17:03:04 +0000 2018,0.865,0.0,0.135,"😍🍫You really can't go wrong with a recipe from Mary Berry. 

❤️️🍰 Here are some of @BBCFood's favourites. 👉… https://t.co/svyK73KV0o",70,BBC
70,0.4939,Wed Mar 21 16:30:07 +0000 2018,0.868,0.0,0.132,"Is it too late to save the oceans from plastic? 🦈

Go behind the scenes of the documentary Sir David Attenborough c… https://t.co/SjXbB6OZAN",71,BBC
71,0.4019,Wed Mar 21 16:29:54 +0000 2018,0.886,0.0,0.114,"RT @bbcmusic: Anne-Marie, Kylie Minogue, Ladysmith Black Mambazo and more have been added to the lineup for The Queen's Birthday Party conc…",72,BBC
72,0.0,Wed Mar 21 15:59:03 +0000 2018,1.0,0.0,0.0,"Fictional locations such as Narnia, Gotham City and Neverland have mysteriously appeared on road signs in Oxfordshi… https://t.co/3NzQqfNNux",73,BBC
73,-0.0516,Wed Mar 21 14:03:03 +0000 2018,0.946,0.054,0.0,"🎶 Did you know that @DBtodomundo was asked to leave his school choir? 

📻 Here are 11 things we learned from the Ta… https://t.co/tusEZQgIbG",74,BBC
74,0.0,Wed Mar 21 13:30:02 +0000 2018,1.0,0.0,0.0,What did students think when the BBC transported them to places they never thought possible? #ForReal… https://t.co/KFgZaE3PXi,75,BBC
75,0.0,Wed Mar 21 13:03:01 +0000 2018,1.0,0.0,0.0,"Almost 1,000 sausage dogs have taken part in a dachshund dash! 🐶❤️️🐾

https://t.co/SMYaziJUrq",76,BBC
76,0.1779,Wed Mar 21 12:33:01 +0000 2018,0.909,0.0,0.091,"Ruben is a star of @cbbc's #TheDumpingGround and has Down's Syndrome.

Growing up with a disability could have been… https://t.co/lNo1Pa2wTu",77,BBC
77,0.8271,Wed Mar 21 11:46:05 +0000 2018,0.661,0.0,0.339,The annual Marmalade Festival held at the weekend is one of the UK's many festivals dedicated solely to a particula… https://t.co/I75Ufx17Gq,78,BBC
78,0.0,Wed Mar 21 11:03:01 +0000 2018,1.0,0.0,0.0,"Spring has officially sprung! 🌺🌷🌸🌱🌻

https://t.co/fAZSeVV8Oo",79,BBC
79,0.4003,Wed Mar 21 10:03:03 +0000 2018,0.856,0.0,0.144,"""I've just had a haircut so I now look ninety-nine-and-a-half!"" 💁🎉❤️️

A 100-year-old called Sadie has shared the s… https://t.co/X9QbWw0Ey0",80,BBC
80,0.0,Wed Mar 21 09:58:25 +0000 2018,1.0,0.0,0.0,"RT @BBC_Teach: On #WorldPoetryDay let us know which your class’ favourite poem and/or poet?

Is it one of these? 👇👉 https://t.co/qtn7IPXDFH…",81,BBC
81,0.34,Wed Mar 21 09:58:01 +0000 2018,0.776,0.082,0.142,RT @bbcthree: This inspirational teacher overcame his stammer and is now showing his students how to do the same. https://t.co/JMAWR0conA,82,BBC
82,0.7845,Wed Mar 21 09:57:49 +0000 2018,0.566,0.0,0.434,RT @bbcthree: This Country winning their 3rd award 🏆🏆🏆 #RTSAwards https://t.co/oBdg1KruHK,83,BBC
83,0.5994,Wed Mar 21 09:57:28 +0000 2018,0.837,0.0,0.163,"RT @bbcpress: Four new dramas announced for @BBCOne from writers Marnie Dickens (#Thirteen), Levi David Addai (#Damilola, Our Loved Boy), B…",84,BBC
84,0.4574,Wed Mar 21 09:57:09 +0000 2018,0.885,0.0,0.115,RT @BBCOne: #EastEnders is back on Thursday with a special double bill at 7.30pm and 9pm on @BBCOne! And you know what that means… https://…,85,BBC
85,0.7125,Wed Mar 21 09:33:01 +0000 2018,0.709,0.0,0.291,"⛈🌤😂 @AlanCarr responds to those weather forecasters that LOVE a bit of drama. 
https://t.co/T9gpTdqDt3",86,BBC
86,0.0,Wed Mar 21 09:03:05 +0000 2018,1.0,0.0,0.0,"🌻🌻🌻 Did you know that the head of a sunflower is built of up to 2000 flowers? 

📻👉 https://t.co/aIWLu7AQES https://t.co/gNmcaG1ri5",87,BBC
87,0.9336,Wed Mar 21 08:02:03 +0000 2018,0.438,0.0,0.562,"Wow! 19-year-old Justice Osei from Ghana has an amazing talent for imitating animals. 🐊🐢🐒🦇🐇🐿🐓🐑🐸🦆🦎
https://t.co/UZqeSyzsQB",88,BBC
88,0.0,Tue Mar 20 19:48:04 +0000 2018,1.0,0.0,0.0,"This #WorldFrogDay, why not try making an origami jumping frog with @BBCTaster's step-by-step tutorial? 🐸… https://t.co/jjMqUND883",89,BBC
89,0.0,Tue Mar 20 19:03:04 +0000 2018,1.0,0.0,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. 🇮🇳… https://t.co/4WG0esDk8m",90,BBC
90,-0.3859,Tue Mar 20 18:33:01 +0000 2018,0.768,0.16,0.071,"Can you watch this without laughing? 😹🔊 You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",91,BBC
91,0.34,Tue Mar 20 17:33:03 +0000 2018,0.738,0.102,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",92,BBC
92,0.0,Tue Mar 20 17:03:01 +0000 2018,1.0,0.0,0.0,"Un-bee-lievable! 🐝😍 Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",93,BBC
93,0.0,Tue Mar 20 16:05:04 +0000 2018,1.0,0.0,0.0,"Arise, Sir Ringo! 🎖🎶@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",94,BBC
94,0.0,Tue Mar 20 15:33:03 +0000 2018,1.0,0.0,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,95,BBC
95,0.4084,Tue Mar 20 15:03:02 +0000 2018,0.868,0.0,0.132,"'Everybody has a voice'. ❤️️🎶

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",96,BBC
96,0.6369,Tue Mar 20 14:24:06 +0000 2018,0.741,0.0,0.259,📸The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,97,BBC
97,0.0,Tue Mar 20 14:03:04 +0000 2018,1.0,0.0,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. 🍰🍋💍… https://t.co/H7dWlxmYcR,98,BBC
98,0.2235,Tue Mar 20 13:16:25 +0000 2018,0.881,0.0,0.119,"RT @BBCWalesNews: 🎟🎞🍿Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",99,BBC
99,-0.4023,Tue Mar 20 13:02:01 +0000 2018,0.838,0.162,0.0,"People always have an opinion. 🙄😂 Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",100,BBC
100,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.806,0.0,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,1,CBS
101,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.686,0.0,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,2,CBS
102,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.645,0.0,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",3,CBS
103,0.0,Thu Mar 22 22:10:29 +0000 2018,1.0,0.0,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,4,CBS
104,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.623,0.066,0.311,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,5,CBS
105,0.636,Thu Mar 22 00:23:38 +0000 2018,0.802,0.0,0.198,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,6,CBS
106,0.0,Wed Mar 21 18:00:01 +0000 2018,1.0,0.0,0.0,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,7,CBS
107,0.5106,Tue Mar 20 20:00:01 +0000 2018,0.858,0.0,0.142,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,8,CBS
108,0.0,Tue Mar 20 17:58:43 +0000 2018,1.0,0.0,0.0,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,9,CBS
109,0.5562,Tue Mar 20 16:52:42 +0000 2018,0.826,0.0,0.174,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,10,CBS
110,0.0,Tue Mar 20 16:11:00 +0000 2018,1.0,0.0,0.0,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",11,CBS
111,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.619,0.072,0.309,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",12,CBS
112,0.0,Sun Mar 18 23:44:30 +0000 2018,1.0,0.0,0.0,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,13,CBS
113,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.787,0.0,0.213,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,14,CBS
114,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.92,0.0,0.08,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",15,CBS
115,0.0,Sat Mar 17 19:00:02 +0000 2018,1.0,0.0,0.0,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",16,CBS
116,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.839,0.0,0.161,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,17,CBS
117,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.753,0.0,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,18,CBS
118,0.296,Fri Mar 16 22:53:21 +0000 2018,0.896,0.0,0.104,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,19,CBS
119,0.0,Fri Mar 16 18:15:53 +0000 2018,1.0,0.0,0.0,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",20,CBS
120,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.806,0.0,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,21,CBS
121,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.686,0.0,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,22,CBS
122,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.645,0.0,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",23,CBS
123,0.0,Thu Mar 22 22:10:29 +0000 2018,1.0,0.0,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,24,CBS
124,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.623,0.066,0.311,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,25,CBS
125,0.636,Thu Mar 22 00:23:38 +0000 2018,0.802,0.0,0.198,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,26,CBS
